Időbélyeg;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Dohos;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Fémes;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Megvetés;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Téboly;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Koncentráció;A lánc első szava: Küszöb;A lánc első szava: Diadal;A lánc első szava: Csend;Írja le azt a fogalmat, amely a legkevésbé kapcsolódik az alábbi szóhoz: Kötél;Írja le azt a fogalmat, amely a legkevésbé kapcsolódik az alábbi szóhoz: Lelkesedés;Valaki leszólítja Önt az utcán. Folyamatosan beszél, de Ön nem beszéli a nyelvét.;Valaki ötször kereste Önt zsinórban egy ismeretlen számról.;Kép:;Kép:;Kép:;Kép:
2026.05.08. 6:06:45;Penész;Csikorog;Undor;Bolondokháza;Merev;Fa, zöld, tavasz;Erő, edzés, izzadság;Magány, szomorú, bánat;Szabadság;Csend;Mosolyognék, kézjelekkel mutatnám, hogy nem értem.;Ismeretlen számot nem veszek fel. Ha valamit akar, akkor üzenjen, hogy egyáltalán kicsoda.;Öngyilkosság legelőször. Majd, hogy milyen szép is a kilátás. Mennyire fújhat a szél, ilyen magasan.;Savanyú, összefut a számban a nyál. De boldog, bohockodik, játszik a citrom hatásával.;Medence csont, egy röntgen képet tudnék elképzelni vele;Cincér, zóld füvet képzelek el alá
2026.05.08. 10:07:05;Dühös;Kemény;Elutasítás;Horror;Vegyület;ajtó, kilincs,kulcs;Ív,matek,érettségi;Király,nép,ország;Hűtőszekrény;Festmény;Szerintem meglepődnék, először és nem érteném a helyzetet, viszont ha nem ertem amit mondd az rovid időn belul utana felidegesitene zavarna mert nem tudom mit kene csinaljak;Szintúgy először meglepődnek, lehet meg is ilyednek, gondolom visszhahivnam azt a szamot kivancsisagbol és ha csak tényleg valami nagyon fontos dolog miatt keresett valaki ami nem várhatott akkor nyugodnek csak meg ha valaki valami kevesbe fontosabb dolog miatt keresett zsinórban ötször arra ideges lennek;Elfog a rosszulét, tériszonyos vagyok;Szintúgy felugrik a szőr a hátamon hiszen elképzelem ha most én harapnek bele a citromba;Két ember veszekszik valamin, és a sötét miatt rossz érzetet kelt bennem ;2 ember meg van sértődve egymasra
2026.05.08. 11:15:41;Cigaretta;Íz;Szégyen;Sötét;Szemüveg;Fém, csat, hideg;Nyerés, pénz, sok;Nyugalom, síkság, köd;Fény;Sötét;Adrenalin, hirtelen nagyon elkezdenék fókuszálni. Útbaigazítást kérne. Zavarodott lehet, vagy tanácstalan.;Vészhelyzet vagy direkt erőszakos vki. Kiváncsi lennék de bizalmatlan- visszahívnám, de nagy fokú gyanakvás lenne bennem;Magasságtól való félelem. Mélybe húzó sötétség.;Savanyú képet vágó nő. Maró savanyúság, keserűség íze.;2 viaskódó fekete köppenyes nő harcol. Vmilyen buddhista , zen vagy keleti harcművészeti részlet.;2 egymásnak hátat fordító nyúl pisil. Alice csodaországban jut róla eszembe
2026.05.08. 16:31:33;fal;íz;kudarc;elmebeteg;figyelem;határ, átlépés, gát;menet, híd, átkelés;zaj, rémisztő, sikoly;fagyi;farhát;Frusztrált lennék, valószínűleg eltévedett az utcán. Megpróbálnám megkérni, hogy az általam beszélt nyelvek egyikére váltson, megpróbálnék okostelefonom fordítójával szót érteni vele, ha sikertelen lenne minden próbálkozásom, akkor pedig otthagynám. A másik fél össze lenne zavarodva.;Kényelmetlenül érezném magam. Visszahívnám a számot és elnézést kérnék, amennyiben sürgős ügy miatt keresett. A másik fél ingerült lenne.;Ez a kép számomra ijesztő, mert félek a magasságtól, ha az nyitott (mint a háztető itt) és nem csak egy ablakból kell kinézni.;Ez a kép a nyarat jelenti nekem, mert a nő trikóban van és süt rá a nap, tehát jó időben készült a kép. Emellett egy citromkarikába harap bele, amit én szintén nyáron limonádékba vagy koktélokba szoktam helyezni.;A kép szerintem két embert ábrázol akik egymás felé fordulva egy tábortűz köröl táncolnak.;Ez a kép szerintem két nyulat ábrázol, oldalról , akik egymással háttal ülnek.
2026.05.08. 19:03:22;Szoba;Íz;Orbán;Ház;Iskola;Ajtó, Ház, Kert;Csata, Történelem, Óra;Hangzavar, hangszóró, zene;Monitor;Kuka;Először gyorsan odébb akarnék menni. Aztán ha nem hagy, akkor valószínűleg valamit akar, így megpróbálom megérteni.;Valami baj lehet. Megpróbalom visszahívni. Ha felveszi megkérdezem, mit akar.;Ez egy öngyilkos ember. Éppen le akar ugrani.;Nagyon jó idő van, valószínűleg nyár van. A citromtól összehúzódik a szám.;Két teniszező embert látok. Egy teniszpálya lehetne még körülöttük.;Két nyúlat látok, akik kengurúnak öltöztek. Erdőben vannak.
2026.05.11. 16:04:53;Szoba;Íz;Kedvtelés;Káosz;Siker;Index,mutató,pont;ív,forma,geometria;élet,természet,eredet;konvenció;Gaudasajt;"Oké egy mukkot sem értek de megvárom hogy mutogasson.
Szuper ezt a kifejezést hallottam már nálunk is ezt jelenti.
Hmmm ki az aki lehet a fordítónk ?";"Oké valami britt felmenőm kereshet, fix megint egy kastélyt örököltem.
Lehet fontos ? 
Csak ne a Nav legyen….";"Minden olyan apró és jelentéktelen, de mindenki intézi az életét.
Jó itt fent a nyugalomban";"Hhmmm egy jó mentolos limonádé.
Vagy egy jó citromos torta";"Táncoló emberek.
Két ló ami egymással hátnak áll.";"Egy bogár feje.
Vagy kettő csápos pingvin "
2026.05.11. 16:30:10;pince;vér;iskola;firka;fókusz;esés,kórház,halál;Róma,császárok,bukás;természet,szarvas,állatok;diplomamunka;kerecsensólyom;Meglepődnék először, nem érteném a szituációt. Megpróbáénék az illetővel angolul, vagy valamilyen közösen beszélt nyelven kommunikálni. Ha nem sikerülne, elnézést kérnék és otthagynám. Azt gondolnám, hogy az az ember furcsán viselkedik.;Megijednék, hogy valamelyik hozzátartozómnak baja esett. Azonnal visszahívnám a számot.Ilyenkor egyből arra gondolok, hogy valami baj van, vagy esetleg valamilyen reklám céljából hívnak.;Szinte a gyomromban érzem a mélységet és a rettegést. A tenyerem izzadni kezd és nincs kedvem sokáig nézni a képet.;Ellentétes érzéseim vannak, a citrom savanyúsága ellentétesnek érződik a kép meleg, vidám tónusaival. Disszonanciát kelt bennem a helyzet.;Egy táncoló párt vélek felfedezni. A hangulat feszültséggel teli, mert egy harmadik személy, vagy dolog közöttük van és nem engedi őket egymáshoz igazán közel kerülni. Egy báltermet képzelek el háttérnek, de lehetséges a puszta lelki értelmezés is, fizikai háttér nélkül.;Két egymásnak hátat fordító rovart látok. Talán eltaposták őket, olyan, mintha a belsőségeik szétfolytak volna mellettük. A háttér egy autóút lehetne. A kép hangulata visszataszító mindenképpen.
2026.05.11. 17:36:43;lelakottság;vér;szánalom;szédültség;fókusz;ajto,bejarat,csalad;csata,kuzdelem,nyereseg;benso,tisztasag,nyugalom;asztal;halál;Leállítanám, megkérdezném tud-e angolul, vagy milyen nyelven beszél? Ha nem beszélem mégsem a nyelvét ösztönözném, hogy mutogasson. Ha ezzel sem jutunk előrébb segítséget kérnék mástól.;Ha scam akkor nem foglalkoznék vele, a telefonok már jól kiszűrik. Ha nem scam akkor visszahívnám amint tudom;Magasság, szép kilátás, adrenalin;nyár, limonádé megivása után megeszem a citromot a pohárból;Két ember egymással teniszezik. ;Valamilyen szarvasbogár vagy dió
2026.05.11. 17:50:14;parasztház;acél;Takács;Fidesz;kutatás;Belépési, Schultz, Jólvanezígy;Választás, Magyar, újdonság;Természet, erdő, eső;Folyadék;Depresszió;Zavarban volnék, mivel nem értem a másik személyt, pedig érteni szeretném őt. Valószínűleg nem értem az ő nyelvét. Megkérdezném, hogy tud-e angolul, mert azt a nyelvet értem. A másik személy örülne valószínűleg ennek, mivel látja, hogy segíteni szeretnék. ;Feszültséget éreznék mivel gyanítom, hogy fontos lehet: családtag másik számról vagy munkahelyről. Feltételezem, hogy fontos dolog miatt hívnak. Ezért próbálnám visszahívni. A másik személy lehet, hogy feszült lenne, hogy nem ért el korábban. ;Félelmet érzek. Rettegek attól, hogy lezuhanok és meghalok. El szeretnék menekülni innen. ;A citrom az egyik kedvenc gyümölcsöm, ezért kellemes savanyú ízt érzek. A nyár jut eszembe róla, amikor sok citromos üdítőt iszok. Eszembe jut még Olaszország, ahol többször voltam és híres a citrom termesztésről. ;Pillangót látok. Illetve egy szimmetrikus pacát, tintafoltot vélek felfedezni. ;2 hernyót látok, amik egymásnak háttal ülnek. Illetve 2 nyulat látok még, akik egymásnak háttal ülnek. 
2026.05.11. 23:25:29;Pince;Vér;Negatív;Film;Iskola;Ajtó, szoba, ágy;Győzelem, boldogság, nyár;Nyugalom, tengerpart, nap;Agysebész;Transzdiszciplinaritás;Kellemetlenül érezném magam és poénosan probálnám minél hamarabb félbeszakítani, hogy jelezzem neki, hogy nem értem. Gondolkoznék, hogy csak én lehetek ilyen szerencsétlen, de aztán valószínűleg boldog lennék, hogy valami a kinézetemmel/kisugárzásommal bátorságra ösztönözte, hogy engem szólítson meg. Fordító alkalmazással biztos segítenék. A másik félnek is biztos nehéz lehetett, hogy vegye a bátorságot és megszólítson egy idegent.;Biztos megijednék, hogy ki zaklat. Nagyon aggasztana, visszahívnán félve, biztos valami rosszat feltételeznék. Alig várnám, hogy kiderüljön.;Nagyon ijesztő ez a magasság, nekem halál félelmem lenne ilyen helyzetben.;Szépek a lány fogaim. Elég vastag a citromszelet, biztos jó savanyú.;Olyan mint két ember aki palástban karddal harccol. Valami középkori csatának tűnik.;Olyan mint két bogár, nagy csápokkal, amik egymásnak hátatfordítva imádkoznak. Picit szürreális. De közben ha egyben figyelem olyan is mint egy állat koponyája.
2026.05.11. 23:40:06;Régi;Erős;Elítélés;Káosz;Figyelem;Ajtó, bejárat, ház;Győzelem, ünneplés, siker;Természet, nyugalom, béke ;Zokni;Vegyszer;Zavarban lennék. Jelezném hogy nem beszélem a nyelvet (fejrázás, kezek keresztbe tétele), ha nem hagyja abba elmegyek. A másik fél ha nem érti a jelzéseimet akkor tudatlan és erőszakos. Frusztrációt érezhet.;Bizalmatlanságot érzek és nem reagálok. Valószínű a másik fél ideges;Szabadság érzet ragadott el a képre nézve. A másik ami eszembe jutott az adrenalin. Biztos felemelő érzés ott állni.;Kellemetlen érzésem van, érzem a citrom savanyú ízét. ;Őszintén én csak egy pacát látok, de szép szimmetrikus, el tudom képzelni egy pillangó szárnyán mondjuk. Semleges érzés;Két egymásnak támaszkodó nyúl. Negatív érzés
2026.05.12. 0:03:17;Régi;Vér;Ehagyatottság;Téveszme;Figyelem;Küszöb, lépés, bent;Diadal, nyeremény, ünneplés;Csend, egyedüllét, magány;Akné;Csavar;Azon gondolkodom, hogyan állítsam meg és tudassam valahogy vele, hogy én nem beszélem azt a nyelvet, amelyen hozzám szól az illető. Pánik és stressz és kellemetlenség érezte jelenne meg bennem. Mivel tovább folytatja a beszélgetést annak ellenére, hogy én próbálom jelezni a problémát, a frusztráció nőni kezd, de egyben a tehetetlenség és a sajnálat is.;Először kiváncsiság és zavartság is előidéződhet, ki lehet, mit akarhat. Előjöhet az ijedtség is, lehet valami fontos vagy sűrgős. De felmerülhet az idegesség is, ha például egy csalási kísérletre gondolok.;Ahogy erre a képre nézek megjelenik bennem a félelem, ijedtség, pánik, sokk és tehetetlenség. Mégis van egy olyan érzésem is, hogy még menthető a helyzet, reménység, ha valahogy máshogy irányulok esés közben, hátha belekapaszkodhatok valamibe vagy betörhetek egy lakásba, bármilyen lehetetlen is, él bennem a túlélő ösztön. Az is lehet, hogy ez csak egy álom.;Erre a képre nézve, eszembejut a nyár, a meleg, a zöld és viruló természet, kellemes, meleg érzés fog el. A citrom savanyú íze kontraszt, kellemes és kellemetlen egyszerre. Rosszúl esik az első harapás, de megszem.;Ezen a képen mintha két ember táncolna egymással szemben. Mindketten egymástól eltávolodó szögben helyezkednek el, az egyensúlypontjuk ugyanaz, kezeik kinyújtva egymás felé, olyan mintha a táncnak egy gyors, elillanó pillanatát örökítettük meg. A középső alakzatok, ha megfelelő szögből nézzük talán az árnyékaik az intenzív reflektorfényben.;Két dolgot is látok ezen a képen, az egyik ha teljes egészében nézzük, akkor egy csápos bogár. A másik két, egymásnak háttal ülő nyúl vagy rajzfilmszerű sáska, összetett kézzel, mintha imádkozna.
2026.05.12. 9:08:14;Fullasztó;Izzasztó;Magvetés;Lovecraft;Elme;Határ, ház, otthon;Győzelem, népszerűség, befolyás;Béke, elme, nyugalom;Motor;Űrtartalom;"Alapvetően kicsit tahóságnak tartom hogy az ""én országomban"" valaki a sajt nyelvével próbál érvényesülni, ez sok esetben kisebb ellenszevet ébreszt bennem. Továbbá a legtöbb esetben ha az utcán tartózkodok, jellemzően valahová tartok amiben nem szeretm ha feltartanak. Persze mindez csak pillanatnyi, ezt követően megpróbálnék telefonnal vagy valamilyen eszközzel fordítani és amennyiben tudok segíteni. Feltételezem hogy ha valaki folyamatosan beszél akkor valamiféle útbaigazításra vagy hasonlóra van szüksége. ";Azt gondolom manapság elég ritka hogy valakit ennyire sokszor próbál meghívni, emberek nagyrésze legtudja annyival hogy 1 esetleg 2 hosszabb csörgetés hagy aztán felhagy a hívással, még akkor is ha amúgy fontos lenne a válasz. Feltételezem hogy valami fontosról lehet szó hogy ha ötször kerestek, amennyiben nem titkosított szám, csak szimplán nem ismerem valoszinüleg visszahívnám. Pontosabban arra látok a legnagyobb esélyt hogy visszahívjam, viszont amennyi telefonos csalás meg különböző trükközés megy telefonon lehet annyiba hagynám, erre mondjuk kisebb esélyt látok. ;Egy kis tériszony van bennem úgy hogy az első reakcióm a félelem. Gyönyörűnek tartom a magaslatból letekintést, pláne városok esetében. ;Testem egyetlen porcikája sem kívánja. De amúgy egésséges szóval lehet jobban tenném. ;Azt gondolom hogy a szépség egyik csúcsa olyas valami ami szimetrikus. Látok benne két embert akik összeakarnak érni de nem sikerül, a köztük lévő távolság talán végtelen. ;Első gondolatom két táncos akik has/ derék tájon összeérnek és hátrafelé dőlnek. Egyik hátsó lábukat felfelé emelik, mindezt egy nagy buggyos szoknyában. 
2026.05.12. 10:36:02;Büdös;Vér;Mag;Őrület;Zúgás;Küszöb, lépés, ember;Boldogság, mosoly, Én;Koncert, nap, forró;Kényelem;Halál;Zavarna a helyzet bizonytalansága, hogy nem értem és nem tudok vele mit kezdeni. Valószínűleg eltévedett turista. Elkezdenék hozzá angolul beszélni, hátha azzal megtaláljuk a közös hangot. Csalódottságot, hogy nem beszélem a nyelvét, és azt hogy ez így nehéz lesz.;Azt gondolnám, hogy valami zaklató, nyugtalanság töltene el. Legvalószínűbb ok lehet, hogy csak félrehívott. Ha nyugodt körülmények között lennék akkor egyszer visszahívnám és ha nem veszi fel akkor letiltanám. Attól függ hogy kicsoda, de ha letiltanám biztos csalódott lenne.;A Cyberpunk jutott róla először eszembe. Én nem mernék így kiülni a peremre. Ezek csak a város fényei lehetnek, de első látásra olyan mintha lángolna.;"Idegesítő ez az arcvágás és ahogy beleharap a citromba a hölgy. Olyan mintha nem sokkal ezelőtt azt mondta volna ""Áh, én mindenféle reakció nélkül tudok megennj egy citromot, csak figyeld."" De ez nem sikerült neki. Nem szeretem a citromot magában, csak teába vágva maximum. A citromos süti finom. A fagyi is.
";Olyan mintha két ember harcolna. Valamilyen csatatéren egy háborúban. Izgalmas az atmoszférája, de amellett ijesztő is.;Két űrlény egymásnak háttal. Így kommunikálnak, éppen evés után. Nyugodtságot sugároz az elképzelt kép.
2026.05.12. 14:29:39;öreg;vas;emberek;bohóc;tanulás;küszöb, ajtó, szoba;diadal, lovaglás, harc;csend, nyugalom, fény;atomerőmű;gyémántbányászat;Mutogatással és egy fordító segítségével próbálok segíteni rajta. Ha túl nyomakodó, otthagynám.;Ha hív legközelebb, akkor veszem majd fel. Némítva van a telefonom, amikor nem tudok beszélni, meg amúgysem szeretek telefonálni;tériszonyos vagyok, de szép kép;minden sütibe rakok egy kevés citromhéjat;lepke. akkor is egy lepke ha hosszabban kell leírjam;nyulak egymásnak háttal, nem vált ki semmi mást belőlem
2026.05.12. 17:19:28;Pince;Vasrúd;Büntetés;Őrült;Dolgozat;Ház, kémény, füst;Hadsereg, háború, halál;Alvás, párna, puha;Biokémia;Por;Némi szorongást éreznék. Valószínűleg eltévedt, és segítséget szeretne kérni, és azt hiszi, én értem, mit mond. Megpróbálnám több nyelven elmondani, hogy nem értem, hátha beszéli valamelyiket.;Itt is némi szorongást éreznék. Valószínűleg valami fontosról van szó, de nem szeretek ismeretlen számokat felvenni. Lehet, hogy valamilyen baj történt. Megpróbálnám összeszedni magam és visszahívnám.;A kép egyszerre kelt bennem szorongást, hogy mindjárt leesik az ember, és egyszerre némi szabadságérzetet. A szorongás viszont erősebb, kissé tériszonyom van.;A kép a nyárra emlékeztet, kellemes hangulatú. A nyál kicsit összefutott a számban.;Ez egy denevérre emlékeztet. Bár a tetejénél inkább olyan, mintha egy panda vagy koala lenne. Az egész kissé oroszlánra is emlékeztet.;A kép olyan, mintha kettő lény ülne egymásnak háttal, vagy mint egy kecske feje. A két szélén a pöttyök melletti részek olyanok, mintha 90°-ban elforgatott tehénfejek lennének.
2026.05.12. 21:36:20;Pince;Villa;Kudarc;Őrület;Tanulás;Ajtó, ház, felújítás;Győzelem, harc, csata;Erdő, fa, fény;Pihenés;Unalom;Azt gondolnám, hogy bajban van és segítséget próbál épp kérni. Megpróbálnám valahogy megérteni, amit mond, telefonnal, fordítással. Majd a tartalom alapján segíteni neki, ha tudok, vagy segítséget hívni neki.;Biztosan idegen hív, nem ismerős, egy ajánlattal vagy felméréssel. Sms üzenetben próbálnám kideríteni, hogy ki az, és mit akar. Ha erre válaszul ismét felhívna, felvennem, de tartózkodva.;Nem bizalomgerjesztő a kép, inkább ijesztő. Tériszonyom lenne itt, nem ülnék ki ide. A kép szereplője rossz kedvű, talán depressziós lehet, talàn meggondolatlan cselekedetet akar véghez vinni.;"Megindult a nyálelválasztásom:)
Nem harapnék bele, mert nem tesz jót a fogzománcnak, félteném a fogaimat. És az izét sem szeretem kifejezetten";Egy medencecsontra emlékeztet, egy teljes csípő izületre. Egészségügyi érzetem van tőle, mintha egy röntgen eredményét nézném az orvosnál;Egy nagy bogárra emlékeztet, ami épp egy helyben áll. 
